Target language lemma,ID,User language gloss,English gloss,POS,Level,Word source,Ex. ID,Form,Analysis,Target language example sentence,User language translation,English translation,Reference,Topic(s),Lesson,
преподавать,2364,teach,,V,A2,LM,1,преподавать,Imperf.Inf,Катя решила преподавать русский язык в школе.,Katya decided to teach Russian at a school.,,_,учёба/работа,,
преподавать,2365,teach,,V,A2,LM,2,преподаёт,Imperf.Sing.3,Мой папа преподаёт философию в университете.,My father teaches philosophy at the university.,,_,учёба/работа,,
преподавать,2366,teach,,V,A2,LM,3,преподают,Imperf.Plur.3,Мои родители преподают математику в школе.,My parents teach mathematics at a school.,,_,учёба/работа,,
пригласить,2367,invite,,V,A2,MiP,1,пригласил,Perf.Masc.Sing.Past,Сергей пригласил Марию в ресторан.,Sergey invited Maria to a restaurant.,,_,"люди, общение, свободное время",,
пригласить,2368,invite,,V,A2,MiP,2,пригласили,Perf.Plur.Past,Мои друзья пригласили меня в кино в эту пятницу.,My friends invited me to the cinema on Friday.,,_,"люди, общение, свободное время",,
пригласить,2369,invite,,V,A2,MiP,3,пригласить,Perf.Inf,Могу ли я пригласить Вас на танец?,Can I ask you to dance?,,_,"люди, общение, свободное время",,
приглашать,2370,invite,,V,A2,"Golosa, MiP, LM",1,приглашали,Imperf.Plur.Past,Зачем он пришёл? Мы его не приглашали!,Why did he come? We didn’t invite him!,,_,"люди, общение, свободное время",,
приглашать,2371,invite,,V,A2,"Golosa, MiP, LM",2,приглашаю,Imperf.Sing.1,Я приглашаю Вас на балет в эту субботу.,I’m inviting you to the ballet this Saturday.,,_,"люди, общение, свободное время",,
приглашать,2372,invite,,V,A2,"Golosa, MiP, LM",3,приглашал,Imperf.Masc.Sing.Past,Петя каждый год приглашал меня на свой день рождения.,Petya invited me to his birthday party every year.,,_,"люди, общение, свободное время",,
приезд,2373,arrival,,N.Masc.Inan,A2,"Golosa, LM",1,приезду,Dat.Sing,Мои дети всегда радуются приезду гостей в наш дом.,My children are always happy when we have guests in our house.,,_,"путешествие, транспорт",,
приезд,2374,arrival,,N.Masc.Inan,A2,"Golosa, LM",2,приезде,Loc.Sing,Напишите мне по приезде в Милан.,Write to me when you have arrived in Milan.,,_,"путешествие, транспорт",,
приезд,2375,arrival,,N.Masc.Inan,A2,"Golosa, LM",3,приезда,Gen.Sing,Я так ждал вашего приезда!,I was waiting so much for you to come!,,_,"путешествие, транспорт",,
прийти,2376,come,,V,A2,MiP,1,пришёл,Perf.Masc.Sing.Past,Вася вчера не пришёл на лекцию. С ним всё в порядке?,Vasya didn’t come to yesterday’s lecture. Is he ok?,,_,"люди, свободное время",,
прийти,2377,come,,V,A2,MiP,2,пришла,Perf.Fem.Sing.Past,Во сколько ты вчера пришла домой?,When did you come home yesterday?,,_,"люди, свободное время",,
прийти,2378,come,,V,A2,MiP,3,пришли,Perf.Plur.Past,Мы пришли на йогу слишком поздно — все уже начали заниматься.,We came late to yoga class — everybody had already started exercizing.,,_,"люди, свободное время",,
пример,2379,example,,N.Masc.Inan,A2,LM,1,примеру,Dat.Sing,"Какие фильмы вам нравятся? Мне, к примеру, драмы.","What kind of movies do you like? I like dramas, for example.",,_,учёба/работа,,
пример,2380,example,,N.Masc.Inan,A2,LM,2,пример,Nom.Sing,Картины Энди Уорхола — яркий пример поп-арта.,Andy Warhol's paintings are a vivid example of pop art.,,_,учёба/работа,,
