Target language lemma,ID,User language gloss,English gloss,POS,Level,Word source,Ex. ID,Form,Analysis,Target language example sentence,User language translation,English translation,Reference,Topic(s),Lesson,
насекомое,8003,insect,,N.Neut.Anim,B2,"Golosa, LM",1,насекомых,Gen.Plur,Укусы насекомых могут вызывать аллергию.,Insect bites can cause an allergic reaction.,,_,животные/растения,,
насекомое,8004,insect,,N.Neut.Anim,B2,"Golosa, LM",2,насекомые,Nom.Plur,Насекомые быстро адаптируются к новым условиям.,Insects can easily adapt to new conditions.,,_,животные/растения,,
насекомое,8005,insect,,N.Neut.Anim,B2,"Golosa, LM",3,насекомое,Nom.Sing,Пчела - самое трудолюбивое насекомое.,The bee is the most hardworking insect.,,_,животные/растения,,
насилие,8006,violence,,N.Neut.Inan,B2,LM,1,насилие,Nom.Sing,"В полицейском протоколе говорится, что к жертве применялось физическое насилие. ",The police protocol states that physical abuse has been inflicted upon the victim.,,_,здоровье,,
насилие,8007,violence,,N.Neut.Inan,B2,LM,2,насилия,Gen.Sing,Депутат пытается запретить сцены насилия на телевидении. ,The government official is trying to ban violent scenes on television.,,_,здоровье,,
насилие,8008,violence,,N.Neut.Inan,B2,LM,3,насилием,Ins.Sing,Первый раз в жизни Таня столкнулась с насилием. ,For the first time in her life Tanya experienced violence.,,_,здоровье,,
наследство,8009,inheritance,,N.Neut.Inan,B2,LM,1,наследство,Acc.Sing,Свой дом они получили в наследство от бабушки.,They inherited their house from their grandmother.,,_,люди,,
наследство,8010,inheritance,,N.Neut.Inan,B2,LM,2,наследству,Dat.Sing,Раньше ремесло часто передавали по наследству от отца к сыну.,In earlier times the craft was often passed on from father to son.,,_,люди,,
наследство,8011,inheritance,,N.Neut.Inan,B2,LM,3,наследством,Ins.Sing,"Этот крест был единственным наследством, доставшимся мне от отца.",This cross was the only thing I inherited from my father.,,_,люди,,
нарезать,8012,"chop, slice",,V,B2,LM,1,нарезать,Imperf.Inf,"Взять пять крупных яблок, очистить их, нарезать тонкими ломтиками. ","Take five big apples, peel them and cut them up in thin slices. ",,_,еда,,
